y1;y2;y3;votou2010;denuncia;corrup_lavajato;corrup_ou_incomp;novo_politica;militar;lula;demo_dita;escola;rendaf;cor;idade1;idade;sexo
1;5;4;3;1;3;2;.;3;1;.;5;3;1;19;1;2
1;5;5;2;1;3;2;1;1;1;1;6;4;3;58;4;1
4;2;2;2;2;1;1;1;3;1;1;1;2;3;71;5;1
1;5;5;2;1;1;1;3;3;1;2;2;1;1;44;3;1
1;5;3;1;1;1;1;1;3;1;1;7;3;3;42;3;2
1;5;3;1;1;1;1;1;1;1;1;3;1;1;62;5;1
1;1;5;3;1;3;2;2;1;1;1;3;1;1;23;1;1
4;2;5;1;2;3;2;2;3;2;3;4;2;4;19;1;1
1;2;4;2;1;3;2;2;3;2;2;6;1;2;22;1;2
4;.;5;2;1;3;2;3;3;2;1;2;1;1;48;4;2
1;5;5;2;1;3;1;3;3;1;1;8;3;2;29;2;1
5;1;5;1;1;1;2;1;1;1;3;5;2;98;24;1;1
1;1;5;2;1;3;2;1;3;2;2;3;1;3;42;3;1
1;5;3;1;1;1;1;2;2;1;2;2;6;1;56;4;2
1;5;5;1;1;2;1;3;3;2;1;2;1;5;36;3;2
1;5;5;3;1;3;1;3;3;1;1;5;.;3;54;4;1
5;1;5;3;1;1;2;1;2;1;1;4;3;3;16;1;1
1;3;.;3;.;.;1;.;.;.;.;5;2;1;38;3;2
1;1;5;2;1;1;1;3;3;2;3;5;1;3;25;2;1
1;5;2;1;2;1;1;2;2;1;2;5;3;1;60;5;1
1;5;2;3;1;1;1;3;2;1;2;5;4;1;75;5;1
5;5;4;1;2;2;1;2;2;.;1;1;1;3;70;5;1
.;4;4;3;1;1;1;2;.;2;3;5;1;2;28;2;2
1;4;3;1;1;3;2;3;1;1;2;5;2;3;20;1;1
1;5;5;2;1;3;1;1;3;2;1;5;1;2;34;2;2
1;5;5;3;1;2;2;1;3;2;1;5;4;2;75;5;1
1;5;3;2;1;1;1;1;1;1;2;2;1;3;46;4;1
1;5;4;3;1;3;2;3;3;1;1;5;2;2;27;2;1
1;1;5;1;1;1;2;1;1;1;1;2;1;1;33;2;1
5;1;4;1;1;1;1;2;2;1;2;5;1;1;46;4;2
